sequence,score1,score2,score3,risk,finance,Value,personal,index
171,0.01,196.635032,0,0,0.5,3,0,6
172,0.006,166.291099,0,0,0.3,3,0,5
173,0.014,163.559425,0,0,0.7,2,0,4
174,0.009,196.635032,0,0,0.45,2,0,5
175,0.018,122.28606,0,0,0.9,1,0,4
176,0.014,161.385291,0,0,0.7,1,0,5
177,3.066,166.291099,0,3,0.3,2,0,5
178,0.043,119.05438,0,0,2.15,3,0,5
179,0.024,164.104015,0,0,1.2,1,0,3
180,0.022,166.291099,0,0,0.35,2,3,5
181,3.089,140.827849,0,3,0.7,1,3,4
182,0.021,182.47392,0,0,0.3,2,3,5
183,0.011,196.635032,0,0,0.55,2,0,5
184,4.067,164.173615,0,4,0.85,2,10,4
185,0.014,196.635032,0,0,0.7,2,0,4
186,3.123,57.731142,0,3,3.9,3,0,5
187,4.112,166.291099,0,4,0.1,3,10,6
188,3.149,150.480984,0,3,0.7,3,0,4
189,4.059,163.559425,0,4,0.45,2,10,5
190,0.015,166.291099,0,0,0.75,2,0,4
191,0.019,163.489825,0,0,0.95,3,0,4
192,0.019,158.723217,0,0,0.95,3,0,6
193,3.18,131.621856,0,3,2.25,2,3,6
194,0.043,103.728121,0,0,2.15,3,0,2
195,3.104,103.788855,0,3,2.2,1,0,4
196,3.152,158.723217,0,3,0.85,3,0,5
197,0.064,118.98478,0,0,2.45,2,3,4
198,3.067,163.559425,0,3,0.35,2,0,5
199,4.061,163.559425,0,4,0.55,2,10,4
200,0.007,196.635032,0,0,0.35,1,0,6
201,0.017,119.05438,0,0,0.85,2,0,4
202,0.014,133.215492,0,0,0.7,3,0,5
203,0.003,163.559425,0,0,0.15,2,0,6
204,0.021,159.156303,0,0,1.05,2,0,4
205,3.144,163.559425,0,3,0.45,2,0,6
206,0.012,158.723217,0,0,0.6,3,0,6
207,0.02,196.635032,0,0,1,3,0,6
208,0.009,163.559425,0,0,0.45,3,0,5
209,3.127,163.559425,0,3,0.35,2,0,5
210,0.025,120.557234,0,0,1.25,1,0,3
211,0.024,158.723217,0,0,1.2,2,0,4
212,4.185,89.988846,0,4,1,2,3,4
213,0.004,196.635032,0,0,0.2,2,0,5
214,0.029,94.825054,0,0,0.7,1,3,4
