sequence,score1,score2,score3,risk,finance,Value,personal,index
1111,0.009,196.635032,0,0,0.45,2,0,6
1112,0.002,163.559425,0,0,0.1,2,0,6
1113,3.068,196.635032,0,3,0.4,2,0,5
1114,0.041,182.47392,0,0,2.05,2,0,5
1115,3.063,166.291099,0,3,0.15,2,0,5
1116,0.022,165.721384,0,0,1.1,3,0,5
1117,0.013,196.635032,0,0,0.65,2,0,3
1118,0.007,196.635032,0,0,0.35,2,0,6
1119,0.01,164.104015,0,0,0.5,3,0,4
1120,3.082,163.559425,0,3,1.1,2,0,4
1121,0.019,61.749447,0,0,0.95,1,0,4
1122,4.011,133.145892,0,4,0.55,3,0,5
1123,0.003,133.215492,0,0,0.15,3,0,5
1124,0.004,124.554797,0,0,0.2,5,0,6
1125,0.008,164.104015,0,0,0.4,1,0,5
1126,4.061,196.635032,0,4,0.55,4,10,5
1127,0.058,121.830529,0,0,2.9,1,0,3
1128,3.132,101.822513,0,3,2.85,1,3,4
1129,0.019,131.028408,0,0,0.95,1,0,3
1130,0.017,163.559425,0,0,0.85,2,0,4
1131,0.006,196.635032,0,0,0.3,3,0,6
1132,4.072,163.559425,0,4,1.1,2,10,4
1133,0.013,196.635032,0,0,0.65,2,0,4
1134,0.017,133.215492,0,0,0.85,2,0,5
1135,0.009,196.635032,0,0,0.45,2,0,6
1136,0.017,54.645479,0,0,0.85,1,0,4
1137,0.013,133.829682,0,0,0.65,1,0,5
1138,0.014,125.168987,0,0,0.7,1,0,4
1139,0.011,158.723217,0,0,0.55,3,0,6
1140,0.012,196.635032,0,0,0.6,3,0,5
1141,0.037,182.47392,0,0,1.85,2,0,6
1142,0.016,127.286471,0,0,0.8,2,0,5
1143,4.145,118.98478,0,4,4,3,10,4
1144,3.177,166.291099,2.5,3,0.85,2,0,4
1145,0.028,196.565432,0,0,0.65,3,3,6
1146,0.047,149.398313,0,0,2.35,2,0,4
1147,0.013,166.291099,0,0,0.65,2,0,5
1148,0.04,95.848267,0,0,1.25,1,3,3
1149,0.013,166.335574,0,0,0.65,1,0,4
1150,0.019,122.450263,0,0,0.95,3,0,6
1151,0.007,196.635032,0,0,0.35,3,0,5
1152,0.011,166.221499,0,0,0.55,2,0,6
1153,0.034,163.559425,0,0,0.95,2,3,4
1154,3.126,161.454891,0,3,1.05,1,0,4
1155,0.009,163.559425,0,0,0.45,2,0,5
1156,0.163,98.977222,0,0,8.15,3,0,-1
1157,0.005,191.729224,0,0,0.25,2,0,6
1158,0.026,163.559425,0,0,0.55,2,3,5
1159,0.009,196.635032,0,0,0.45,2,0,5
1160,0.011,163.559425,0,0,0.55,2,0,5
1161,0.066,115.811741,0,0,3.3,2,0,5
1162,0.015,133.215492,0,0,0.75,2,0,4
1163,0.009,196.635032,0,0,0.45,3,0,6
1164,0.024,196.635032,0,0,0.45,2,3,5
1165,0.031,163.559425,0,0,0.8,3,3,4
1166,0.003,170.557592,0,0,0.15,2,0,6
1167,0.004,164.173615,0,0,0.2,1,0,5
1168,0.006,166.291099,0,0,0.3,2,0,5
1169,3.226,98.977222,0,3,8.3,2,0,-1
1170,0.012,163.559425,0,0,0.6,3,0,6
1171,0.009,157.630404,0,0,0.45,1,0,5
1172,3.074,198.796991,0,3,0.7,2,0,4
1173,0.011,163.559425,0,0,0.55,2,0,5
1174,3.123,196.635032,0,3,0.15,2,0,6
1175,0.009,196.635032,0,0,0.45,2,0,6
1176,4.073,149.398313,0,4,1.15,3,10,6
1177,0.011,131.098008,0,0,0.55,2,0,4
1178,0.013,196.635032,0,0,0.65,3,0,6
1179,0.002,196.635032,0,0,0.1,2,0,5
1180,0.012,166.291099,0,0,0.6,2,0,4
1181,0.01,163.559425,0,0,0.5,3,0,4
1182,0.02,163.559425,0,0,0.25,2,3,5
1183,0.019,163.559425,0,0,0.95,2,0,4
1184,3.067,192.30151,0,3,0.35,3,0,6
1185,0.039,157.924459,0,0,1.2,2,3,4
1186,0.007,196.635032,0,0,0.35,3,0,5
1187,0.006,133.215492,0,0,0.3,5,0,6
1188,0.004,163.559425,0,0,0.2,2,0,5
1189,0.021,131.028408,0,0,1.05,1,0,4
1190,0.005,196.635032,0,0,0.25,2,0,5
1191,0.028,117.405377,0,0,0.65,3,3,5
1192,3.124,196.635032,0,3,0.2,2,0,5
1193,3.076,164.173615,0,3,0.8,2,0,4
1194,4.052,187.465302,0,4,2.6,2,0,3
1195,0.013,163.559425,0,0,0.65,3,0,5
1196,4.212,198.796991,0,4,0.1,2,3,5
1197,4.063,133.215492,0,4,0.65,3,10,5
1198,0.009,196.565432,0,0,0.45,2,0,6
1199,0.019,163.559425,0,0,0.95,2,0,4
1200,0.018,157.854859,0,0,0.9,3,0,5
1201,0.024,196.635032,0,0,0.45,3,3,5
1202,0.017,163.559425,0,0,0.85,2,0,4
1203,3.063,163.559425,0,3,0.15,2,0,6
1204,0.007,196.635032,0,0,0.35,2,0,5
1205,0.03,161.454891,0,0,1.5,3,0,3
1206,0.042,86.592963,0,0,2.1,2,0,4
1207,0.021,128.923874,0,0,1.05,2,0,4
1208,0.013,163.489825,0,0,0.65,2,0,5
1209,0.039,133.760082,0,0,1.2,1,3,4
1210,0.006,166.291099,0,0,0.3,3,0,5
1211,0.006,196.635032,0,0,0.3,3,0,6
1212,4.064,100.684475,0,4,0.7,1,10,4
1213,0.004,163.559425,0,0,0.2,2,0,6
1214,0.009,196.635032,0,0,0.45,1,0,5
1215,0.006,196.635032,0,0,0.3,2,0,5
1216,0.007,163.559425,0,0,0.35,2,0,6
1217,0.02,125.168987,0,0,1,1,0,4
1218,0.014,166.291099,0,0,0.7,2,0,4
1219,0.017,133.259967,0,0,0.85,1,0,4
1220,3.145,196.635032,0,3,1.25,2,0,4
1221,0.019,163.559425,0,0,0.95,2,0,3
1222,0.019,163.559425,0,0,0.95,1,0,4
1223,0.015,157.924459,0,0,0.75,2,0,5
1224,0.015,110.382085,0,0,0.75,1,0,4
1225,0.007,196.635032,0,0,0.35,3,0,6
1226,0.009,133.215492,0,0,0.45,5,0,5
1227,0.029,166.291099,0,0,0.7,2,3,4
1228,0.01,133.215492,0,0,0.5,1,0,5
1229,0.027,166.291099,0,0,0.6,2,3,4
1230,0.009,163.559425,0,0,0.45,2,0,5
1231,4.063,191.798824,0,4,0.65,2,10,5
1232,0.003,163.559425,0,0,0.15,2,0,6
1233,3.049,166.291099,0,3,0.2,2,0,5
1234,0.025,92.09338,0,0,1.25,1,0,4
1235,4.068,148.2939,0,4,0.9,1,10,3
1236,0.021,163.559425,0,0,1.05,2,0,4
1237,0.166,98.977222,0,0,8.3,1,0,-1
1238,3.073,191.798824,0,3,0.65,3,0,5
1239,0.028,144.879187,0,0,1.4,1,0,1
1240,0.018,102.916034,0,0,0.9,1,0,4
1241,3.072,163.559425,0,3,0.6,3,0,6
1242,0.014,131.028408,0,0,0.7,1,0,3
1243,3.058,117.405377,0,3,0.65,3,0,5
1244,4.101,118.98478,0,4,2.55,3,10,4
1245,0.025,161.454891,0,0,1.25,2,0,4
1246,0.01,196.635032,0,0,0.5,2,0,4
1247,0.021,133.215492,0,0,1.05,3,0,4
1248,4.232,192.30151,0,4,0.85,2,10,5
1249,0.02,114.535254,0,0,1,1,0,1
1250,0.007,196.565432,0,0,0.35,3,0,5
1251,0.02,166.291099,0,0,1,1,0,4
1252,3.078,163.559425,0,3,0.15,2,3,6
1253,4.18,67.368135,0,4,3,1,0,2
1254,0.006,166.291099,0,0,0.3,3,0,5
1255,0.022,131.028408,0,0,1.1,1,0,4
1256,3.069,196.565432,0,3,0.45,3,0,6
1257,0.013,178.839432,0,0,0.65,2,0,6
1258,0.025,182.47392,0,0,1.25,2,0,5
1259,0.011,133.215492,0,0,0.55,2,0,4
1260,0.006,133.215492,0,0,0.3,2,0,6
1261,0.006,196.635032,0,0,0.3,2,0,5
1262,0.015,196.635032,0,0,0.75,2,0,4
1263,0.051,147.293779,0,0,2.55,1,0,4
1264,0.02,166.291099,0,0,1,2,0,4
1265,3.066,163.559425,0,3,0.3,3,0,6
1266,4.131,101.822513,0,4,4.05,1,10,3
1267,3.084,163.559425,0,3,0.45,2,3,5
1268,4.133,152.129987,0,4,2.9,2,3,5
1269,0.011,163.559425,0,0,0.55,3,0,5
1270,0.035,127.580526,0,0,1,3,3,4
1271,0.025,51.380603,0,0,1.25,2,0,5
1272,4.046,118.98478,0,4,2.3,1,0,4
1273,3.066,196.635032,0,3,0.3,3,0,5
1274,0.017,163.559425,0,0,0.85,2,0,4
1275,4.059,158.723217,0,4,0.45,2,10,5
1276,3.067,196.565432,0,3,0.35,2,0,5
1277,0.004,133.215492,0,0,0.2,3,0,6
1278,3.069,163.559425,0,3,0.45,3,0,6
1279,0.016,108.468762,0,0,0.8,2,0,4
1280,4.089,114.148572,0,4,1.95,1,10,5
1281,0.05,125.98689,0,0,2.5,4,0,5
1282,4.071,126.694886,0,4,1.05,1,10,4
1283,0.024,161.454891,0,0,1.2,2,0,4
1284,0.017,133.215492,0,0,0.85,2,0,4
1285,0.011,107.752242,0,0,0.55,2,0,5
1286,0.004,196.635032,0,0,0.2,2,0,5
1287,0.018,196.635032,0,0,0.15,3,3,6
